jp_address	eu_address	kind	method	confidence	note
88:B064	88:B935	text	exact	high	local block 7 bytes +code; code; crates/assets/src/text/pandora.rs:30 (+2)
88:B0FB	88:B9F2	text	exact	high	local block 7 bytes +code; code; crates/assets/src/text/pandora.rs:31 (+2)
88:B673	88:C0D2	text	aligned	medium	gap 0x6 bytes, same length; text page, no script names it: confirm with the EU text decoder; code; crates/assets/src/text/pandora.rs:13
88:B69C	88:C0FB	text	exact	medium	local block 9 bytes +shape; text page, no script names it: confirm with the EU text decoder; code; crates/assets/src/text/pandora.rs:14
88:B6C7	88:C126	text	exact	high	local block 7 bytes +code; code; crates/assets/src/text/pandora.rs:13 (+4)
88:B722	88:C1A7	text	exact	high	local block 10 bytes +code; code; crates/assets/src/text/pandora.rs:128 (+4)
88:B758	88:C1E4	text	exact	high	local block 8 bytes +code; code; crates/assets/src/text/pandora.rs:14 (+5)
88:B7E3	88:C2D4	text	exact	high	local block 5 bytes +code; code; crates/assets/src/text/pandora.rs:128 (+4)
88:C697	88:D5D5	script	exact	high	run 0xd bytes; code; crates/assets/src/maps/visual/scene_animation.rs:18 (+1)
88:C6B8	88:D5F6	script	exact	high	run 0x11 bytes +shape; code; crates/assets/src/maps/visual/scene_animation.rs:18 (+1)
88:D60D	88:E40F	sprite	exact	high	local block 10 bytes +table +shape; test; crates/assets/src/sprites/house_tests.rs:222 (+2)
88:D60F	88:E411	sprite	exact	high	local block 10 bytes +shape; test; crates/assets/src/sprites/house_tests.rs:481
88:D618	88:E41A	sprite	aligned	medium	gap 0x6 bytes, same length; test; crates/assets/src/sprites/house_tests.rs:223 (+5)
88:D641	88:E443	sprite	exact	high	run 0x1e bytes +code +shape; test; crates/assets/src/sprites/house_tests.rs:226 (+1)
88:D64F	88:E451	sprite	exact	high	run 0x1e bytes; test; crates/assets/src/sprites/house_tests.rs:382 (+1)
88:D651	88:E453	sprite	aligned	medium	gap 0x1 bytes, same length; test; crates/assets/src/sprites/house_tests.rs:484
88:FFF5	FF:0C08	sprite	estimate	low	anchors disagree; test; crates/assets/src/sprites/house_tests.rs:378
89:8000	98:A50B	script	exact	high	run 0x11 bytes +table; test; crates/crysta-runtime/src/actors/native.rs:319
89:D24E	89:CB3E	map	exact	high	run 0x13 bytes; code; crates/assets/src/maps/visual/pandora/recipes.rs:180 (+2)
89:D253	89:CB43	map	exact	high	run 0x13 bytes; code; crates/assets/src/maps/visual/pandora/recipes.rs:182 (+2)
89:D255	89:CB45	map	exact	high	run 0x13 bytes; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:73 (+1)
89:D256	89:CB46	map	exact	high	run 0x13 bytes; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:126
89:D257	89:CB47	map	exact	high	run 0x13 bytes; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:73
89:D25A	89:CB4A	map	aligned	medium	gap 0x1 bytes, same length; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:74 (+1)
89:D26C	89:CB5C	map	exact	high	local block 19 bytes +shape; code; crates/assets/src/maps/visual/pandora/recipes.rs:98 (+2)
89:D273	89:CB63	map	exact	high	local block 4 bytes +shape; code; crates/assets/src/maps/visual/pandora/recipes.rs:99
89:D27A	89:CB6A	map	exact	high	local block 4 bytes +shape; code; crates/assets/src/maps/visual/pandora/recipes.rs:100
89:D281	89:CB71	map	exact	high	local block 4 bytes +shape; code; crates/assets/src/maps/visual/pandora/recipes.rs:101
89:D288	89:CB78	map	exact	high	local block 4 bytes +shape; code; crates/assets/src/maps/visual/pandora/recipes.rs:102
89:D28F	89:CB7F	map	exact	high	local block 4 bytes +shape; code; crates/assets/src/maps/visual/pandora/recipes.rs:103
89:D296	89:CB86	map	exact	high	local block 4 bytes +shape; code; crates/assets/src/maps/visual/pandora/recipes.rs:104
89:D29D	89:CB8D	map	exact	high	run 0x2d bytes +shape; code; crates/assets/src/maps/visual/pandora/recipes.rs:259 (+1)
89:D2A1	89:CB91	map	exact	high	run 0x2d bytes +shape; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:99 (+1)
89:D2AD	89:CB9D	sprite	exact	high	run 0x2d bytes +table +shape; code; crates/assets/src/sprites/pandora_phases.rs:401
89:D2C1	89:CBB1	sprite	exact	high	run 0x2d bytes +shape; code; crates/assets/src/sprites/pandora_phases.rs:258
89:D2F4	89:CBE4	sprite	exact	high	run 0xdc bytes; code; crates/assets/src/sprites/pandora_phases.rs:264
89:D30E	89:CBFE	sprite	exact	high	run 0xdc bytes; code; crates/assets/src/sprites/pandora_phases.rs:265
89:D328	89:CC18	sprite	exact	high	run 0xdc bytes; code; crates/assets/src/sprites/pandora_phases.rs:266
89:D342	89:CC32	sprite	exact	high	run 0xdc bytes; code; crates/assets/src/sprites/pandora_phases.rs:267
89:D35C	89:CC4C	sprite	exact	high	run 0xdc bytes; code; crates/assets/src/sprites/pandora_phases.rs:268
89:D376	89:CC66	sprite	exact	high	run 0xdc bytes; code; crates/assets/src/sprites/pandora_phases.rs:269
89:D390	89:CC80	sprite	exact	high	run 0xdc bytes; code; crates/assets/src/sprites/pandora_phases.rs:270
89:D3E0	89:CCD0	text	exact	medium	local block 10 bytes +shape; text page, no script names it: confirm with the EU text decoder; code; crates/assets/src/text/pandora.rs:32
89:D3F4	89:CCE4	text	exact	high	run 0x12 bytes +shape; code; crates/assets/src/text/pandora.rs:33
89:D408	89:CCF8	text	exact	high	run 0x12 bytes +shape; code; crates/assets/src/text/pandora.rs:34
89:D41C	89:CD0C	text	exact	high	run 0x12 bytes +shape; code; crates/assets/src/text/pandora.rs:35
89:D430	89:CD20	text	exact	high	run 0x12 bytes +shape; code; crates/assets/src/text/pandora.rs:36
89:D444	89:CD34	text	exact	high	run 0x12 bytes +shape; code; crates/assets/src/text/pandora.rs:37
89:D458	89:CD48	text	exact	high	run 0x12 bytes +shape; code; crates/assets/src/text/pandora.rs:38
89:D470	89:CD60	text	exact	high	run 0x16 bytes; code; crates/assets/src/text/pandora.rs:39
89:D48B	89:CD7B	text	exact	high	run 0x19 bytes +shape; code; crates/assets/src/text/pandora.rs:46 (+1)
89:D4A4	89:CD94	text	exact	high	run 0x17 bytes; code; crates/assets/src/text/pandora.rs:40
89:D4AE	89:CD9E	text	exact	medium	local block 8 bytes; text page, no script names it: confirm with the EU text decoder; code; crates/assets/src/text/pandora.rs:41
89:D4C9	89:CDB9	text	exact	high	run 0x19 bytes; code; crates/assets/src/text/pandora.rs:42
89:D4D3	89:CDC3	text	exact	medium	local block 8 bytes; text page, no script names it: confirm with the EU text decoder; code; crates/assets/src/text/pandora.rs:43
89:D4EE	89:CDDE	text	exact	high	run 0x19 bytes +shape; code; crates/assets/src/text/pandora.rs:44
89:D4F8	89:CDE8	text	exact	medium	local block 8 bytes +shape; text page, no script names it: confirm with the EU text decoder; code; crates/assets/src/text/pandora.rs:45
89:D50F	89:CDFF	text	exact	high	run 0x16 bytes +code; code; crates/assets/src/text/pandora.rs:32 (+2)
89:D548	89:CE34	text	exact	high	local block 4 bytes +code; code; crates/assets/src/text/pandora.rs:33 (+2)
89:D5E5	89:CF07	text	exact	high	local block 4 bytes +code; code; crates/assets/src/text/pandora.rs:34 (+2)
89:D622	89:CF59	text	exact	high	local block 4 bytes +code; code; crates/assets/src/text/pandora.rs:35 (+2)
89:D66D	89:CFB3	text	exact	high	local block 4 bytes +code; code; crates/assets/src/text/pandora.rs:36 (+2)
89:D6A7	89:CFFA	text	exact	high	local block 4 bytes +code; code; crates/assets/src/text/pandora.rs:37 (+2)
89:D6DD	89:D03F	text	exact	high	local block 4 bytes +code; code; crates/assets/src/text/pandora.rs:38 (+2)
89:D720	89:D0A2	text	exact	high	local block 5 bytes +code; code; crates/assets/src/text/pandora.rs:39 (+9)
89:D735	89:D0C1	text	exact	high	local block 4 bytes +code; code; crates/assets/src/text/pandora.rs:46 (+4)
89:D7C1	89:D156	text	exact	high	local block 4 bytes +code; code; crates/assets/src/text/pandora.rs:40 (+2)
89:D92D	89:D319	text	exact	high	local block 4 bytes +code; code; crates/assets/src/text/pandora.rs:42 (+2)
89:D991	89:D38A	text	exact	high	local block 4 bytes +code; code; crates/assets/src/text/pandora.rs:44 (+2)
89:D9F9	89:D3FC	sprite	exact	high	run 0xe bytes +table; code; crates/assets/src/sprites/pandora.rs:473 (+2)
89:D9FE	89:D401	sprite	exact	high	run 0xe bytes +shape; code; crates/assets/src/sprites/pandora.rs:469 (+2)
89:DC78	89:D731	sprite	exact	high	run 0xe bytes +table; code; crates/assets/src/sprites/pandora_phases.rs:402
CB:7A98	CD:7A98	text	exact	high	run 0x8000 bytes; code; crates/assets/src/text/window.rs:20
CC:2B2C	CE:2B2C	sprite	exact	high	run 0x7d0a bytes +shape; test; crates/assets/src/sprites/house_npc.rs:194
CC:2B2E	CE:2B2E	sprite	exact	high	run 0x7d0a bytes +shape; test; crates/assets/src/sprites/house_npc.rs:152
CC:2B4C	CE:2B4C	sprite	exact	high	run 0x7d0a bytes; test; crates/assets/src/sprites/house_npc.rs:194
8C:9000	8C:91FB	sprite	exact	medium	local block 5 bytes; test; crates/assets/src/sprites/house_tests.rs:143
8C:9022	8C:921D	sprite	aligned	medium	gap 0x2 bytes, same length; test; crates/assets/src/sprites/house_tests.rs:155
8C:9042	8C:9243	sprite	aligned	medium	gap 0x11 bytes, same length; test; crates/assets/src/sprites/house_tests.rs:156
8D:8020	8D:8020	sprite	exact	high	run 0x555 bytes +table +shape; test; crates/assets/src/sprites/house_npc.rs:196 (+1)
8D:8040	8D:8040	sprite	exact	high	run 0x555 bytes +code +table +shape; test; crates/assets/src/sprites/house_npc.rs:201
8D:8C52	8D:8C52	code	exact	high	run 0x395 bytes +shape; code; crates/crysta-app/src/background.rs:459 (+1)
8D:8C53	8D:8C53	code	exact	high	run 0x395 bytes; test; crates/crysta-app/src/background.rs:582
8D:9407	8D:9407	map	exact	high	run 0x2b bytes +code; code; crates/assets/src/maps/visual/scene_animation.rs:24
8D:A8EA	8D:A8EA	script	exact	high	run 0x12ee bytes +code +shape; code; crates/crysta-runtime/src/actors/native.rs:51
8D:A8FD	8D:A8FD	script	exact	high	run 0x12ee bytes +code +shape; code; crates/crysta-runtime/src/actors/native.rs:51
8D:AA96	8D:AA96	script	exact	high	run 0x12ee bytes +code +shape; code; crates/crysta-runtime/src/actors/native.rs:51 (+1)
90:8000	90:8000	sprite	exact	high	run 0x49 bytes +code +table +shape; test; crates/assets/src/sprites/house_tests.rs:395
92:0000	92:0000	bank	bank	high	bank of 16 weighted addresses in it; run 0x8000 bytes +lz; code; crates/assets/src/labels.rs:77 (+4)
92:8095	92:80AF	shop	pointer	medium	25 of 25 code refs, 0 table refs agree; anchors disagree; code; crates/crysta-runtime/src/shop.rs:25
92:8179	92:81A4	shop	pointer	medium	2 of 2 code refs, 0 table refs agree; anchors disagree; code; crates/assets/src/shop_display.rs:24
92:A1ED	92:A438	shop	exact	high	run 0x10 bytes +code; code; crates/crysta-runtime/src/shop.rs:18
92:A2A0	92:A53D	shop	pointer	medium	1 rewritten code refs agree (1 code refs, 0 table refs); bytes suggested 92:A438 (run 0xd bytes); code; crates/crysta-runtime/src/shop.rs:19
92:A355	92:A65E	shop	pointer	medium	4 of 4 code refs, 0 table refs agree; gap 0x3a9->0x10d bytes; code; crates/crysta-runtime/src/shop.rs:20
92:A4FB	92:A792	shop	pointer	low	1 of 1 code refs, 0 table refs agree; gap 0x3a9->0x10d bytes; code; crates/crysta-runtime/src/shop.rs:21
92:A541	92:A79D	shop	pointer	low	1 of 1 code refs, 0 table refs agree; gap 0x3a9->0x10d bytes; code; crates/crysta-runtime/src/shop.rs:28
92:A65D	92:A8BD	shop	pointer	medium	1 rewritten code refs agree (1 code refs, 0 table refs); bytes suggested 92:A65E (local block 11 bytes); code; crates/crysta-runtime/src/shop.rs:28
92:A765	92:A9E7	shop	pointer	medium	1 rewritten code refs agree (1 code refs, 0 table refs); bytes suggested 92:A79D (local block 7 bytes); code; crates/crysta-runtime/src/shop.rs:22
92:A86C	92:AAE0	shop	pointer	medium	1 rewritten code refs agree (1 code refs, 0 table refs); bytes suggested 92:A8BD (local block 7 bytes); code; crates/crysta-runtime/src/shop.rs:23
92:A8EE	92:ABAE	shop	pointer	medium	1 rewritten code refs agree (1 code refs, 0 table refs); bytes suggested 92:A9E7 (local block 4 bytes); code; crates/crysta-runtime/src/shop.rs:28
92:A911	92:ABCD	shop	exact	high	local block 10 bytes +code; code; crates/crysta-runtime/src/shop.rs:28
92:C259	92:C407	text	pointer	medium	3 of 3 code refs, 0 table refs agree; gap 0x14->0x0 bytes; code; crates/assets/src/text.rs:319 (+1)
92:C25B	92:C407	text	estimate	low	gap 0x14->0x0 bytes; test; crates/assets/src/text/tests.rs:115 (+1)
92:C25D	92:C407	text	estimate	low	gap 0x14->0x0 bytes; test; crates/assets/src/text/tests.rs:135
92:C447	92:C5CD	text	pointer	low	1 of 1 code refs, 0 table refs agree; gap 0x99->0x83 bytes; code; crates/assets/src/text.rs:584
92:C449	92:C5E3	text	estimate	low	gap 0x99->0x83 bytes; test; crates/assets/src/text/tests.rs:32 (+1)
92:C44B	92:C5E5	text	estimate	low	gap 0x99->0x83 bytes; test; crates/assets/src/text/tests.rs:32 (+2)
92:C44D	92:C5E7	text	estimate	low	gap 0x99->0x83 bytes; test; crates/assets/src/text/tests.rs:178 (+1)
92:C461	92:C5FB	text	estimate	low	gap 0x99->0x83 bytes; test; crates/assets/src/text/tests.rs:183
92:C463	92:C5FD	text	estimate	low	gap 0x99->0x83 bytes; test; crates/assets/src/text/tests.rs:183
92:C479	92:C601	text	estimate	low	gap 0x99->0x83 bytes; test; crates/assets/src/text/tests.rs:187
92:C47B	92:C601	text	estimate	low	gap 0x99->0x83 bytes; test; crates/assets/src/text/tests.rs:187
92:C5E7	92:C793	text	pointer	low	1 of 1 code refs, 0 table refs agree; gap 0x1a8->0x1688 bytes; code; crates/assets/src/labels.rs:20 (+1)
92:C5F3	92:C799	text	estimate	low	gap 0x1a8->0x1688 bytes; test; crates/assets/src/text/pandora/tests.rs:229
92:C631	92:C7D7	text	estimate	low	gap 0x1a8->0x1688 bytes; test; crates/assets/src/text/pandora/tests.rs:229
92:C800	92:DE8A	text	estimate	low	gap 0x22->0x24 bytes; test; crates/assets/src/text/tests.rs:33 (+8)
92:C802	92:DE8C	text	estimate	low	gap 0x22->0x24 bytes; test; crates/assets/src/text/tests.rs:75 (+6)
92:C803	92:DE8D	text	estimate	low	gap 0x22->0x24 bytes; test; crates/assets/src/text/tests.rs:33
92:C804	92:DE8E	text	estimate	low	gap 0x22->0x24 bytes; test; crates/assets/src/text/tests.rs:141
92:C80A	92:DE94	text	estimate	low	gap 0x22->0x24 bytes; test; crates/assets/src/text/tests.rs:137
92:C80C	92:DE98	text	exact	medium	local block 11 bytes; text page, no script names it: confirm with the EU text decoder; test; crates/assets/src/text/tests.rs:137
92:CC8A	92:E2FC	script	exact	high	run 0xf bytes +shape; code; crates/crysta-runtime/src/actors.rs:205
92:D57D	92:EBEF	shop	exact	high	run 0x2e bytes +code; code; crates/assets/src/shops.rs:14 (+1)
D4:3ACB	D6:3ACB	sprite	exact	high	run 0x8002 bytes +code +table +shape +lz; test; crates/assets/src/sprites/house_tests.rs:81 (+1)
D4:518C	D6:518C	sprite	exact	high	run 0x8002 bytes +code +table +shape +lz; test; crates/assets/src/sprites/pandora_tests.rs:199
96:0000	99:0000	bank	bank	high	bank of 31 weighted addresses in it; run 0x8000 bytes +shape; code; crates/assets/src/shops.rs:13 (+4)
D6:4B77	D8:4B77	sprite	exact	high	run 0x8000 bytes +table +shape +lz; test; crates/assets/src/sprites/house_npc.rs:142 (+5)
D6:5EA2	D8:5EA2	sprite	exact	high	run 0x8000 bytes +code +table +shape +lz; test; crates/assets/src/sprites/house_tests.rs:82 (+1)
D6:6385	D8:6385	sprite	exact	high	run 0x8000 bytes +table +shape +lz; test; crates/assets/src/sprites/house_tests.rs:78 (+1)
96:BB64	99:C2AE	map	pointer	medium	2 of 2 code refs, 0 table refs agree; anchors disagree; code; crates/assets/src/maps/visual/camera.rs:42 (+4)
96:BB66	99:C2B0	map	pointer	low	1 of 1 code refs, 0 table refs agree; anchors disagree; test; crates/assets/src/maps/visual/pandora.rs:251 (+1)
96:BB71	96:C612	map	estimate	low	anchors disagree; test; crates/assets/src/maps/visual/camera.rs:138
96:BC02	99:C34C	map	exact	high	run 0xafa bytes; code; crates/assets/src/maps/visual/pandora.rs:133
96:BC04	99:C34E	map	exact	high	run 0xafa bytes; test; crates/assets/src/maps/visual/camera.rs:138
96:BC1D	99:C367	map	exact	high	run 0xafa bytes; code; crates/assets/src/maps/visual/pandora.rs:136
96:BC2F	99:C379	map	exact	high	run 0xafa bytes; code; crates/assets/src/maps/visual/pandora.rs:141
96:BCDA	99:C424	map	exact	high	run 0xafa bytes +shape; code; crates/assets/src/maps/visual/pandora.rs:144
96:BE30	99:C57A	map	exact	high	run 0xafa bytes +code; code; crates/assets/src/maps/visual/camera.rs:48 (+3)
96:BE32	99:C57C	map	exact	high	run 0xafa bytes +shape; test; crates/assets/src/maps/visual/camera.rs:103 (+2)
96:BE52	99:C59C	map	exact	high	run 0xafa bytes +shape; test; crates/assets/src/maps/visual/camera.rs:110
96:BE53	99:C59D	map	exact	high	run 0xafa bytes +shape; test; crates/assets/src/maps/visual/camera.rs:138
96:C6DC	99:CE26	shop	exact	high	run 0xafa bytes +code; code; crates/assets/src/shops.rs:11 (+2)
96:C900	99:D04A	shop	exact	high	run 0x811 bytes +shape; test; crates/assets/src/shops.rs:160
96:C909	99:D053	shop	exact	high	run 0x811 bytes +shape; test; crates/assets/src/shops.rs:160
96:CD9D	99:D4E7	map	exact	high	run 0x811 bytes +code +shape; code; crates/assets/src/maps/flag_patches.rs:11
96:DDBD	99:E507	sprite	exact	high	run 0x404 bytes +code; code; crates/assets/src/sprites/pandora.rs:531
96:E1A6	99:E8F0	sprite	exact	high	run 0x275 bytes +code +shape; code; crates/assets/src/sprites/pandora_tests.rs:74 (+2)
96:E1AB	99:E8F5	sprite	exact	high	run 0x275 bytes +shape; code; crates/assets/src/sprites/pandora_tests.rs:75 (+2)
96:F2A0	99:F9EA	music	exact	high	run 0x7c bytes +code; code; crates/crysta-app/src/music_data.rs:104
97:0000	D9:0000	bank	exact	low	no resolved address in this bank; run 0x8000 bytes +table; test; crates/assets/src/maps/visual/pandora/compiler_tests.rs:10
D8:1022	DA:1022	script	exact	high	run 0x5d25 bytes +code +table +shape +lz; test; crates/assets/src/maps/actors.rs:600 (+5)
98:817D	9A:817D	script	exact	medium	local block 4 bytes; code; crates/crysta-runtime/src/actors/cadence.rs:171
98:8181	9A:8181	script	aligned	medium	gap 0x3 bytes, same length; test; crates/crysta-runtime/src/actors/cadence.rs:402
98:819C	9A:819C	map	exact	high	run 0x12 bytes +table; code; crates/assets/src/maps/visual.rs:603 (+2)
98:81A5	9A:81A5	map	exact	high	run 0x12 bytes; code; crates/assets/src/maps/visual.rs:789 (+1)
98:81A9	9A:81A9	map	aligned	medium	gap 0x2 bytes, same length; test; crates/assets/src/maps/visual.rs:922
98:8272	9A:8272	script	exact	medium	local block 5 bytes; code; crates/crysta-runtime/src/actors/cadence.rs:171
98:831C	9A:831C	map	exact	high	run 0x39 bytes +table; code; crates/assets/src/maps/visual/pandora/recipes.rs:60
98:831E	9A:831E	map	aligned	medium	gap 0x2 bytes, same length; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:36
98:8321	9A:8321	map	exact	medium	local block 7 bytes; code; crates/assets/src/maps/visual/pandora/recipes.rs:242
98:8326	9A:8326	map	exact	medium	local block 7 bytes; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:34
98:8329	9A:8329	map	exact	medium	local block 6 bytes; code; crates/assets/src/maps/visual/pandora/recipes.rs:249
98:832E	9A:832E	map	aligned	medium	gap 0x2 bytes, same length; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:35
98:8338	9A:8338	map	exact	high	local block 10 bytes +table; code; crates/assets/src/maps/visual/pandora/recipes.rs:71
98:833A	9A:833A	map	aligned	medium	gap 0x2 bytes, same length; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:37 (+1)
98:8340	9A:8340	map	exact	high	local block 6 bytes +table; code; crates/assets/src/maps/visual/pandora/recipes.rs:79
98:8342	9A:8342	map	aligned	medium	gap 0x2 bytes, same length; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:38 (+1)
98:8348	9A:8348	map	exact	high	local block 6 bytes +table; code; crates/assets/src/maps/visual/pandora/recipes.rs:87
98:834A	9A:834A	map	aligned	medium	gap 0x2 bytes, same length; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:39 (+1)
98:8350	9A:8350	map	exact	high	run 0xc bytes +table; code; crates/assets/src/maps/visual.rs:488 (+2)
98:8354	9A:8354	map	exact	high	run 0xc bytes +table; code; crates/assets/src/maps/visual.rs:779
98:8358	9A:8358	map	aligned	medium	gap 0x2 bytes, same length; test; crates/assets/src/maps/visual.rs:941
98:835F	9A:835F	map	exact	high	run 0xc bytes +table; code; crates/assets/src/maps/visual.rs:779
98:8361	9A:8361	map	exact	high	run 0xc bytes; test; crates/assets/src/maps/visual.rs:942 (+1)
98:8366	9A:8366	map	aligned	medium	gap 0x2 bytes, same length; test; crates/assets/src/maps/visual.rs:1004
98:8369	9A:8369	map	exact	high	run 0xf bytes; code; crates/assets/src/maps/visual.rs:779
98:836D	9A:836D	map	exact	high	run 0xf bytes; test; crates/assets/src/maps/visual.rs:943
98:8372	9A:8372	map	exact	high	run 0xf bytes; code; crates/assets/src/maps/visual.rs:779
98:8377	9A:8377	map	aligned	medium	gap 0x2 bytes, same length; test; crates/assets/src/maps/visual.rs:944
98:837A	9A:837A	map	exact	medium	local block 6 bytes; code; crates/assets/src/maps/visual.rs:779
98:837F	9A:837F	map	aligned	medium	gap 0x2 bytes, same length; test; crates/assets/src/maps/visual.rs:945
98:8389	9A:8389	map	aligned	medium	gap 0x3 bytes, same length; test; crates/assets/src/maps/visual.rs:1004
98:8390	9A:8390	map	exact	high	run 0x7d bytes +table +shape; code; crates/assets/src/maps/visual.rs:547 (+2)
98:83C6	9A:83C6	map	exact	high	run 0x7d bytes +table; code; crates/assets/src/maps/visual.rs:620
98:83D2	9A:83D2	map	exact	high	run 0x7d bytes +table; code; crates/assets/src/maps/visual.rs:621
98:83DE	9A:83DE	map	exact	high	run 0x7d bytes +table; code; crates/assets/src/maps/visual.rs:622
98:83EA	9A:83EA	map	exact	high	run 0x7d bytes +table +shape; code; crates/assets/src/maps/visual.rs:623
98:83F6	9A:83F6	map	exact	high	run 0x7d bytes +table +shape; code; crates/assets/src/maps/visual.rs:624
98:8401	9A:8401	map	exact	high	run 0x7d bytes +table; code; crates/assets/src/maps/visual.rs:734 (+2)
98:8405	9A:8405	sprite	exact	high	run 0x7d bytes +table; code; crates/assets/src/maps/visual.rs:520 (+4)
98:8409	9A:8409	map	aligned	medium	gap 0x2 bytes, same length; test; crates/assets/src/maps/visual.rs:918 (+1)
98:8410	9A:8410	map	exact	high	local block 7 bytes +table; code; crates/assets/src/maps/visual.rs:781
98:8412	9A:8412	map	aligned	medium	gap 0x7 bytes, same length; test; crates/assets/src/maps/visual.rs:921 (+1)
98:8417	9A:8417	map	aligned	medium	gap 0x7 bytes, same length; test; crates/assets/src/maps/visual.rs:1095
98:841A	9A:841A	map	exact	high	run 0x1b bytes; test; crates/assets/src/maps/visual.rs:1095
98:841E	9A:841E	map	exact	high	run 0x1b bytes +table; code; crates/assets/src/maps/visual.rs:781 (+4)
98:8422	9A:8422	map	exact	high	run 0x1b bytes; test; crates/assets/src/maps/visual.rs:917 (+1)
98:8425	9A:8425	map	exact	high	run 0x1b bytes; test; crates/assets/src/maps/visual.rs:1092
98:8427	9A:8427	sprite	exact	high	run 0x1b bytes; code; crates/assets/src/maps/visual.rs:781 (+2)
98:842C	9A:842C	map	exact	high	run 0x1b bytes; test; crates/assets/src/maps/visual.rs:919 (+1)
98:842F	9A:842F	map	exact	high	run 0x1b bytes; code; crates/assets/src/maps/visual.rs:781 (+1)
98:8434	9A:8434	map	aligned	medium	gap 0x3 bytes, same length; test; crates/assets/src/maps/visual.rs:920 (+1)
98:8446	9A:8446	sprite	exact	high	run 0x1b bytes +table +shape; code; crates/assets/src/maps/visual.rs:735 (+4)
98:844D	9A:844D	map	exact	high	run 0x1b bytes +table; code; crates/assets/src/maps/visual.rs:736 (+3)
98:8454	9A:8454	map	exact	high	run 0x1b bytes +table; code; crates/assets/src/maps/visual/pandora/recipes.rs:28
98:845A	9A:845A	map	aligned	high	gap 0x2 bytes, same length +code; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:31
98:8461	9A:8461	map	exact	high	local block 9 bytes +table; code; crates/assets/src/maps/visual/pandora/recipes.rs:9 (+3)
98:8465	9A:8465	map	aligned	medium	gap 0x2 bytes, same length; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:25
98:8468	9A:8468	map	exact	high	run 0x17 bytes; code; crates/assets/src/maps/visual/pandora/recipes.rs:158
98:846C	9A:846C	map	exact	high	run 0x17 bytes; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:26
98:8471	9A:8471	map	exact	high	run 0x17 bytes; code; crates/assets/src/maps/visual/pandora/recipes.rs:158
98:8476	9A:8476	map	exact	high	run 0x17 bytes; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:27
98:8479	9A:8479	map	exact	high	run 0x17 bytes; code; crates/assets/src/maps/visual/pandora/recipes.rs:158
98:847E	9A:847E	map	aligned	medium	gap 0x3 bytes, same length; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:28
98:8496	9A:8496	sprite	exact	high	run 0x1e bytes +table +shape; code; crates/assets/src/maps/visual.rs:505 (+4)
98:84AD	9A:84AD	map	exact	high	run 0x1a bytes +table +shape; code; crates/assets/src/maps/visual.rs:738 (+2)
98:84AF	9A:84AF	map	exact	high	run 0x1a bytes +shape; test; crates/assets/src/maps/visual.rs:1086
98:84B4	9A:84B4	map	exact	high	run 0x1a bytes +table +shape; code; crates/assets/src/maps/visual.rs:739 (+3)
98:84BF	9A:84BF	map	exact	high	run 0x1a bytes +table; code; crates/assets/src/maps/visual/pandora/recipes.rs:18 (+3)
98:84C3	9A:84C3	map	aligned	medium	gap 0xc bytes, same length; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:29
98:84C6	9A:84C6	map	aligned	medium	gap 0xc bytes, same length; code; crates/assets/src/maps/visual/pandora/recipes.rs:154
98:84C8	9A:84C8	map	aligned	medium	gap 0xc bytes, same length; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:30
98:84D7	9A:84D7	map	exact	high	run 0x41 bytes +table +shape; code; crates/assets/src/maps/visual/pandora/recipes.rs:36
98:85E9	9A:85E9	map	exact	high	run 0x1c bytes +table; code; crates/assets/src/maps/visual/pandora/recipes.rs:44
98:85EF	9A:85EF	map	aligned	medium	gap 0x2 bytes, same length; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:32
98:85F5	9A:85F5	map	exact	high	local block 10 bytes +table; code; crates/assets/src/maps/visual/pandora/recipes.rs:52
98:85FB	9A:85FB	map	aligned	medium	gap 0x2 bytes, same length; test; crates/assets/src/maps/visual/pandora/recipes/fixtures.rs:33
9A:0000	9C:0000	bank	bank	high	bank of 29 weighted addresses in it; run 0x55a7b bytes +lz; code; crates/assets/src/maps/visual/crysta_animation.rs:95 (+3)
9A:8000	9C:8000	map	exact	high	run 0x55a7b bytes +code +shape; code; crates/assets/src/maps/visual/crysta_animation.rs:97 (+2)
